date,shipped_kg
2017-08-05,0.0
2017-08-06,0.0
2017-08-07,0.0
2017-08-08,0.0
2017-08-09,0.0
2017-08-10,0.0
2017-08-11,0.0
2017-08-12,0.0
2017-08-13,0.0
2017-08-14,0.0
2017-08-15,0.0
2017-08-16,0.0
2017-08-17,0.0
2017-08-18,0.0
2017-08-19,0.0
2017-08-20,0.0
2017-08-21,0.0
2017-08-22,0.0
2017-08-23,0.0
2017-08-24,0.0
2017-08-25,0.0
2017-08-26,0.0
2017-08-27,0.0
2017-08-28,0.0
2017-08-29,0.0
2017-08-30,0.0
2017-08-31,0.0
2017-09-01,0.0
2017-09-02,0.0
2017-09-03,0.0
2017-09-04,0.0
2017-09-05,0.0
2017-09-06,0.0
2017-09-07,0.0
2017-09-08,0.0
2017-09-09,0.0
2017-09-10,0.0
2017-09-11,0.0
2017-09-12,0.0
2017-09-13,0.0
2017-09-14,0.0
2017-09-15,0.0
2017-09-16,0.0
2017-09-17,0.0
2017-09-18,0.0
2017-09-19,0.0
2017-09-20,40.32
2017-09-21,109.44
2017-09-22,0.0
2017-09-23,0.0
2017-09-24,357.12
2017-09-25,293.76
2017-09-26,0.0
2017-09-27,178.56
2017-09-28,679.68
2017-09-29,783.36
2017-09-30,0.0
2017-10-01,673.92
2017-10-02,725.76
2017-10-03,0.0
2017-10-04,881.28
2017-10-05,622.0799999999999
2017-10-06,1215.36
2017-10-07,0.0
2017-10-08,0.0
2017-10-09,1463.04
2017-10-10,1134.72
2017-10-11,1249.9199999999998
2017-10-12,1042.56
2017-10-13,2880.0
2017-10-14,0.0
2017-10-15,1820.1599999999999
2017-10-16,2741.7599999999998
2017-10-17,0.0
2017-10-18,2384.64
2017-10-19,1595.52
2017-10-20,4164.48
2017-10-21,0.0
2017-10-22,4187.5199999999995
2017-10-23,3358.08
2017-10-24,0.0
2017-10-25,6387.84
2017-10-26,3427.2
2017-10-27,4337.28
2017-10-28,0.0
2017-10-29,5397.12
2017-10-30,3657.6
2017-10-31,4659.84
2017-11-01,4913.28
2017-11-02,0.0
2017-11-03,10114.56
2017-11-04,0.0
2017-11-05,11566.08
2017-11-06,10863.359999999999
2017-11-07,0.0
2017-11-08,12124.8
2017-11-09,7856.639999999999
2017-11-10,9993.6
2017-11-11,0.0
2017-11-12,10235.52
2017-11-13,10154.88
2017-11-14,0.0
2017-11-15,11525.76
2017-11-16,7200.0
2017-11-17,7378.5599999999995
2017-11-18,0.0
2017-11-19,8916.48
2017-11-20,5616.0
2017-11-21,8622.72
2017-11-22,0.0
2017-11-23,9527.039999999999
2017-11-24,9642.24
2017-11-25,0.0
2017-11-26,8928.0
2017-11-27,6935.04
2017-11-28,8202.24
2017-11-29,8219.52
2017-11-30,8559.36
2017-12-01,10961.279999999999
2017-12-02,0.0
2017-12-03,11030.4
2017-12-04,9296.64
2017-12-05,0.0
2017-12-06,12182.4
2017-12-07,8029.44
2017-12-08,10719.359999999999
2017-12-09,0.0
2017-12-10,9797.76
2017-12-11,7845.12
2017-12-12,7361.28
2017-12-13,7511.04
2017-12-14,6969.599999999999
2017-12-15,10160.64
2017-12-16,0.0
2017-12-17,9959.039999999999
2017-12-18,7407.36
2017-12-19,8346.24
2017-12-20,7234.5599999999995
2017-12-21,8087.04
2017-12-22,9561.6
2017-12-23,0.0
2017-12-24,11790.72
2017-12-25,8547.84
2017-12-26,9671.039999999999
2017-12-27,8985.6
2017-12-28,9982.08
2017-12-29,7856.639999999999
2017-12-30,11992.32
2017-12-31,12280.32
2018-01-01,0.0
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,15298.56
2018-01-05,14342.4
2018-01-06,0.0
2018-01-07,0.0
2018-01-08,12407.039999999999
2018-01-09,8000.639999999999
2018-01-10,6439.679999999999
2018-01-11,6099.84
2018-01-12,7274.88
2018-01-13,0.0
2018-01-14,7770.24
2018-01-15,8012.16
2018-01-16,0.0
2018-01-17,10909.439999999999
2018-01-18,7741.44
2018-01-19,8686.08
2018-01-20,0.0
2018-01-21,9204.48
2018-01-22,8444.16
2018-01-23,0.0
2018-01-24,10978.56
2018-01-25,7626.24
2018-01-26,8403.84
2018-01-27,0.0
2018-01-28,9993.6
2018-01-29,8121.599999999999
2018-01-30,0.0
2018-01-31,12084.48
2018-02-01,8040.96
2018-02-02,9763.199999999999
2018-02-03,0.0
2018-02-04,9838.08
2018-02-05,9360.0
2018-02-06,0.0
2018-02-07,13196.16
2018-02-08,9417.6
2018-02-09,12349.439999999999
2018-02-10,0.0
2018-02-11,0.0
2018-02-12,15782.4
2018-02-13,9803.52
2018-02-14,9256.32
2018-02-15,8974.08
2018-02-16,12931.199999999999
2018-02-17,0.0
2018-02-18,12574.08
2018-02-19,12026.88
2018-02-20,0.0
2018-02-21,14290.56
2018-02-22,9878.4
2018-02-23,11854.08
2018-02-24,0.0
2018-02-25,11151.359999999999
2018-02-26,11030.4
2018-02-27,0.0
2018-02-28,14987.519999999999
2018-03-01,10051.199999999999
2018-03-02,11468.16
2018-03-03,0.0
